symbol,company_name,market_cap_category,price,market_cap,revenue_ttm,net_income_ttm,eps_ttm,pe_ratio,forward_pe,volume,open,previous_close,beta,industry,sector,days_range_min,days_range_max,fifty_two_week_range_min,fifty_two_week_range_max
WCC,"WESCO International, Inc.",Mid-Cap,196.85,9610000000.0,21820000000.0,660200000.0,13.05,15.08,14.29,467525.0,,,2.01,Industrial Distribution,Industrials,194.79,197.33,141.02,216.17
BLD,TopBuild Corp.,Mid-Cap,326.21,9560000000.0,5300000000.0,618450000.0,19.77,16.5,14.97,157245.0,,,1.86,Engineering & Construction,Industrials,325.01,334.98,302.7,495.68
ALB,Albemarle Corporation,Mid-Cap,81.21,9550000000.0,5380000000.0,-1320000000.0,-11.2,,,2237930.0,,,1.59,Specialty Chemicals,Materials,79.59,82.39,71.97,143.19
AOS,A. O. Smith Corporation,Mid-Cap,66.22,9530000000.0,3820000000.0,533600000.0,3.63,18.24,17.51,1586947.0,,,1.16,Specialty Industrial Machinery,Industrials,65.92,67.07,64.55,92.45
FRHC,Freedom Holding Corp.,Mid-Cap,157.04,9520000000.0,1580000000.0,322560000.0,5.36,29.32,,97321.0,,,1.01,Capital Markets,Financials,156.28,161.01,64.0,164.83
REXR,"Rexford Industrial Realty, Inc.",Mid-Cap,40.34,9520000000.0,936410000.0,262870000.0,1.2,33.62,33.25,1535362.0,,,0.97,REIT - Industrial,Real Estate,40.34,41.25,36.92,53.88
HSIC,"Henry Schein, Inc.",Mid-Cap,76.0,9480000000.0,12500000000.0,314000000.0,2.42,31.35,15.56,1404406.0,,,0.91,Medical Distribution,Healthcare,75.89,77.46,63.67,82.63
CUBE,CubeSmart,Mid-Cap,41.6,9460000000.0,1070000000.0000001,401960000.0,1.78,23.37,23.74,1233766.0,,,0.88,REIT - Industrial,Real Estate,41.39,42.57,39.8,55.14
ALTR,Altair Engineering Inc.,Mid-Cap,110.85,9440000000.0,644660000.0,32850000.0,0.38,288.9,79.07,505418.0,,,1.42,Software - Application,Technology,110.63,110.9,75.71,113.12
KEP,Korea Electric Power Corporation,Mid-Cap,7.36,9440000000.0,70350000000.0,2820000000.0,4.4,3.34,1.73,318083.0,,,0.73,Utilities - Regulated Electric,Utilities,7.3,7.4,6.68,9.55
CRS,Carpenter Technology Corporation,Mid-Cap,188.44,9410000000.0,2880000000.0,268500000.0,5.3,35.56,24.89,961908.0,,,1.54,Metal Fabrication,Industrials,180.2,190.74,62.99,213.65
PRI,"Primerica, Inc.",Mid-Cap,281.18,9380000000.0,3090000000.0,468080000.0,13.69,13.4,13.52,127790.0,,,1.11,Insurance - Life,Financials,280.3,285.19,184.76,307.91
AGI,Alamos Gold Inc.,Mid-Cap,22.3,9370000000.0,1230000000.0,243800000.0,0.6,38.42,16.61,4649209.0,,,1.04,Gold,Materials,22.15,23.23,11.34,23.23
AA,Alcoa Corporation,Mid-Cap,36.24,9360000000.0,11900000000.0,56000000.0,0.26,139.38,9.37,3048156.0,,,2.43,Aluminum,Materials,36.18,37.47,24.86,47.77
WYNN,"Wynn Resorts, Limited",Mid-Cap,88.82,9360000000.0,7130000000.0,501080000.0,4.35,20.4,16.91,8891770.0,,,1.76,Resorts & Casinos,Consumer Discretionary,83.53,89.45,71.63,110.38
AGNC,AGNC Investment Corp.,Mid-Cap,10.43,9360000000.0,973000000.0,731000000.0,0.93,11.22,6.47,19534334.0,,,1.47,REIT - Mortgage,Real Estate,10.35,10.45,8.92,10.85
NIO,NIO Inc.,Mid-Cap,4.44,9330000000.0,9000000000.0,-3010000000.0,-1.52,,,53842322.0,,,1.68,Auto Manufacturers,Consumer Discretionary,4.32,4.55,3.61,7.71
RRC,Range Resources Corporation,Mid-Cap,38.67,9330000000.0,2330000000.0,476510000.0,1.98,19.5,13.3,2138579.0,,,1.78,Oil & Gas Exploration & Production,Energy,38.57,39.62,27.29,41.95
EGP,"EastGroup Properties, Inc.",Mid-Cap,179.61,9330000000.0,638530000.0,227750000.0,4.66,38.54,36.61,422976.0,,,1.02,REIT - Industrial,Real Estate,179.49,182.91,155.1,192.61
ALK,"Alaska Air Group, Inc.",Mid-Cap,75.74,9320000000.0,11740000000.0,395000000.0,3.08,24.59,12.4,2216867.0,,,1.55,Airlines,Industrials,72.25,75.75,32.62,76.45
ASTS,"AST SpaceMobile, Inc.",Mid-Cap,32.1,9300000000.0,2500000.0,-296150000.0,-2.33,,,13913158.0,,,1.62,Communication Equipment,Technology,29.37,32.47,1.97,39.08
MLI,"Mueller Industries, Inc.",Mid-Cap,81.28,9240000000.0,3770000000.0,604880000.0,5.31,15.31,14.39,880963.0,,,0.99,Metal Fabrication,Industrials,80.56,82.49,47.46,96.81
CFR,"Cullen/Frost Bankers, Inc.",Mid-Cap,143.75,9230000000.0,2000000000.0,569630000.0,8.87,16.21,16.01,564412.0,,,0.98,Banks - Regional,Financials,142.78,145.03,94.09,147.64
PNFP,"Pinnacle Financial Partners, Inc.",Mid-Cap,120.24,9200000000.0,1620000000.0,459860000.0,5.96,20.17,15.43,360359.0,,,1.09,Banks - Regional,Financials,119.73,121.4,73.62,131.91
SKWD,"Skyward Specialty Insurance Group, Inc.",Small-Cap,49.86,2000000000.0,1090000000.0,133500000.0,3.27,15.25,15.75,317839.0,,,0.82,Insurance - Property & Casualty,Financials,48.89,51.11,32.08,55.62
BKV,BKV Corporation,Small-Cap,23.66,2000000000.0,624580000.0,-47870000.0,-0.72,,63.88,149630.0,,,,Oil & Gas Exploration & Production,Energy,23.59,24.16,17.39,26.78
ULCC,"Frontier Group Holdings, Inc.",Small-Cap,8.85,1990000000.0,3780000000.0,85000000.0,0.37,23.92,9.9,3982718.0,,,2.35,Airlines,Industrials,8.36,8.88,2.79,10.26
TVTX,"Travere Therapeutics, Inc.",Small-Cap,22.91,1990000000.0,203450000.0,-351450000.0,-4.55,,,1247622.0,,,0.73,Biotechnology,Healthcare,22.82,24.14,5.12,25.29
VSEC,VSE Corporation,Small-Cap,97.28,1990000000.0,1020000000.0,13870000.0,0.82,48.48,26.74,267320.0,,,1.6,Aerospace & Defense,Industrials,91.55,97.87,67.82,123.92
ACLS,"Axcelis Technologies, Inc.",Small-Cap,61.06,1980000000.0,1020000000.0,200990000.0,6.15,9.93,26.78,554212.0,,,1.52,Semiconductor Equipment & Materials,Technology,59.78,61.98,56.32,158.61
BTE,Baytex Energy Corp.,Small-Cap,2.45,1980000000.0,2480000000.0,-259640000.0,-0.32,,30.99,30105534.0,,,2.53,Oil & Gas Exploration & Production,Energy,2.43,2.52,2.19,4.08
RUN,Sunrun Inc.,Small-Cap,8.82,1980000000.0,2040000000.0,-382630000.0,-1.73,,,7483636.0,,,2.59,Solar,Technology,8.58,9.0,7.87,22.26
EDN,Empresa Distribuidora y Comercializadora Norte Sociedad Anónima,Small-Cap,39.76,1980000000.0,972770000.0,123690000.0,0.14,15.99,,88409.0,,,0.99,Utilities - Regulated Electric,Utilities,38.72,39.94,13.78,51.69
MBIN,Merchants Bancorp,Small-Cap,43.19,1980000000.0,646450000.0,283650000.0,6.3,6.86,7.8,84913.0,,,1.16,Banks - Regional,Financials,42.6,43.23,34.16,53.27
UFPT,"UFP Technologies, Inc.",Small-Cap,257.52,1980000000.0,461850000.0,54210000.0,6.99,36.83,31.14,64954.0,,,1.04,Medical Devices,Healthcare,250.31,258.65,186.21,366.41
EVCM,EverCommerce Inc.,Small-Cap,10.75,1970000000.0,693210000.0,-52190000.0,-0.28,,18.96,63803.0,,,1.13,Software - Infrastructure,Technology,10.72,10.93,6.22,12.35
BTU,Peabody Energy Corporation,Small-Cap,16.21,1970000000.0,4240000000.0,370900000.0,2.61,6.14,12.19,3364145.0,,,0.95,Thermal Coal,Energy,16.2,17.34,15.79,29.94
PAX,Patria Investments Limited,Small-Cap,12.69,1960000000.0,374200000.0,73400000.0,0.48,26.55,8.81,608567.0,,,0.59,Asset Management,Financials,12.6,12.81,10.63,16.13
GTX,Garrett Motion Inc.,Small-Cap,9.2,1960000000.0,3580000000.0,234000000.0,1.01,9.08,7.54,554453.0,,,1.15,Auto Parts,Consumer Discretionary,9.18,9.31,7.13,10.16
TGI,"Triumph Group, Inc.",Small-Cap,25.31,1960000000.0,1240000000.0,560130000.0,7.25,148.47,27.48,893653.0,,,2.51,Aerospace & Defense,Industrials,25.27,25.34,11.01,25.41
ROOT,"Root, Inc.",Small-Cap,129.34,1950000000.0,1040000000.0,-15700000.0,-1.07,,,541111.0,,,2.59,Insurance - Property & Casualty,Financials,125.39,140.46,8.6,141.23
CNMD,CONMED Corporation,Small-Cap,63.15,1950000000.0,1310000000.0,132419999.99999999,4.25,14.86,14.56,467875.0,,,1.47,Medical Devices,Healthcare,62.46,65.5,61.05,86.96
GLP,Global Partners LP,Small-Cap,57.23,1940000000.0,17390000000.0,113120000.0,3.31,17.31,25.44,49890.0,,,1.46,Oil & Gas Midstream,Energy,57.06,58.1,37.0,59.03
CENX,Century Aluminum Company,Small-Cap,20.94,1940000000.0,2100000000.0,306100000.0,3.19,6.57,10.47,1322093.0,,,2.5,Aluminum,Materials,20.8,22.11,9.65,25.39
GDRX,"GoodRx Holdings, Inc.",Small-Cap,5.04,1940000000.0,790390000.0,-16219999.999999998,-0.05,,29.3,585306.0,,,1.29,Health Information Services,Healthcare,4.99,5.16,4.09,9.26
PSEC,Prospect Capital Corporation,Small-Cap,4.37,1930000000.0,796250000.0,-91220000.0,-0.21,,7.95,1366493.0,,,0.98,Asset Management,Financials,4.33,4.375,4.09,5.86
OPRA,Opera Limited,Small-Cap,21.86,1930000000.0,447820000.0,159530000.0,1.78,12.31,10.47,454127.0,,,0.99,Internet Content & Information,Communication Services,21.22,22.0,10.11,22.0
BBUC,Brookfield Business Corporation,Small-Cap,26.47,1930000000.0,8210000000.000001,-888000000.0,-12.17,,,36187.0,,,1.54,Asset Management,Financials,26.28,26.77,18.21,28.29
FL,"Foot Locker, Inc.",Small-Cap,20.31,1930000000.0,8119999999.999999,-426000000.0,-4.5,,11.96,2802787.0,,,1.46,Apparel Retail,Consumer Discretionary,19.87,20.35,18.04,35.6
PBI,Pitney Bowes Inc.,Small-Cap,10.59,1920000000.0,2029999999.9999998,-203600000.0,-1.12,18.91,8.86,3262478.0,,,2.01,Integrated Freight & Logistics,Industrials,10.27,10.74,3.73,10.81
BWLP,BW LPG Limited,Small-Cap,12.67,1920000000.0,3600000000.0,474900000.0,3.59,4.05,9.55,261618.0,,,0.86,Marine Shipping,Industrials,12.59,12.92,9.95,22.31
TARS,"Tarsus Pharmaceuticals, Inc.",Small-Cap,50.22,1920000000.0,129620000.0,-134340000.0,-3.7,,,276232.0,,,1.01,Biotechnology,Healthcare,50.01,52.42,20.08,57.28
OFG,OFG Bancorp,Small-Cap,41.8,1920000000.0,629440000.0,198170000.0,4.23,9.88,10.28,580362.0,,,1.02,Banks - Regional,Financials,41.69,43.64,33.19,47.66
HUT,Hut 8 Corp.,Small-Cap,20.47,1920000000.0,194020000.0,180810000.0,1.91,10.18,32.07,2146915.0,,,3.45,Capital Markets,Financials,20.27,20.88,6.77,31.95
WMK,"Weis Markets, Inc.",Small-Cap,71.17,1910000000.0,4760000000.0,95790000.0,3.56,19.99,,59354.0,,,0.51,Grocery Stores,Consumer Staples,71.16,72.82,59.58,76.62
ASTH,"Astrana Health, Inc.",Small-Cap,38.96,1910000000.0,1720000000.0,62460000.0,1.3,29.94,32.03,227764.0,,,1.21,Medical Care Facilities,Healthcare,38.95,39.82,29.08,63.2
CASH,"Pathward Financial, Inc.",Small-Cap,80.25,1910000000.0,719620000.0,170680000.0,6.88,11.66,10.56,125379.0,,,0.73,Banks - Regional,Financials,79.55,81.17,46.68,86.0
LEU,Centrus Energy Corp.,Small-Cap,113.99,1910000000.0,442000000.0,73200000.0,4.47,25.5,44.18,562147.0,,,1.18,Uranium,Energy,112.5,118.0,33.51,122.95
MNR,Mach Natural Resources LP,Small-Cap,16.12,1910000000.0,873770000.0,-35810000.0,-0.35,,6.6,523695.0,,,,Oil & Gas Exploration & Production,Energy,16.07,16.39,14.46,21.19
SEZL,Sezzle Inc.,Small-Cap,340.16,1910000000.0,221810000.0,56090000.0,9.51,35.79,30.76,186568.0,,,16.1,Credit Services,Financials,325.0,358.55,38.22,477.53
CRI,"Carter's, Inc.",Small-Cap,52.88,1910000000.0,2840000000.0,226070000.0,6.33,8.35,10.77,1093974.0,,,1.21,Apparel Retail,Consumer Discretionary,50.91,53.16,49.65,88.03
PGNY,"Progyny, Inc.",Small-Cap,22.36,1900000000.0,1140000000.0,57270000.0,0.6,37.3,13.93,918667.0,,,1.35,Health Information Services,Healthcare,21.92,22.55,13.39,42.08
AGIO,"Agios Pharmaceuticals, Inc.",Small-Cap,33.22,1900000000.0,36500000.0,673730000.0,11.64,2.85,,667366.0,,,0.88,Biotechnology,Healthcare,32.86,34.68,26.02,62.58
STC,Stewart Information Services Corporation,Small-Cap,68.54,1900000000.0,2490000000.0,73310000.0,2.61,26.3,14.63,114956.0,,,1.25,Insurance - Property & Casualty,Financials,67.63,69.15,58.23,78.44
SIMO,Silicon Motion Technology Corporation,Small-Cap,56.47,1900000000.0,803550000.0,90720000.0,2.68,21.07,16.01,334169.0,,,0.78,Semiconductors,Technology,54.94,56.94,48.81,85.87
HIMX,"Himax Technologies, Inc.",Small-Cap,10.88,1900000000.0,906800000.0,79760000.0,0.91,11.93,18.76,6203081.0,,,2.04,Semiconductors,Technology,10.22,11.14,4.8,13.91
DFIN,"Donnelley Financial Solutions, Inc.",Small-Cap,65.85,1900000000.0,802100000.0,96700000.0,3.18,20.69,16.87,153361.0,,,1.36,Software - Application,Technology,65.72,67.18,56.02,71.01
SBLK,Star Bulk Carriers Corp.,Small-Cap,16.1,1900000000.0,1220000000.0,301920000.0,2.98,5.4,9.42,2494972.0,,,0.96,Marine Shipping,Industrials,15.9,16.25,14.3,27.47
DBRG,"DigitalBridge Group, Inc.",Small-Cap,10.18,1900000000.0,876650000.0,129900000.0,0.76,9.92,,1415546.0,,,1.94,Asset Management,Financials,10.15,10.49,10.15,20.5
SAND,Sandstorm Gold Ltd.,Small-Cap,6.37,1890000000.0,173380000.0,35470000.0,0.12,53.4,40.8,6034818.0,,,1.13,Gold,Materials,6.37,6.67,3.99,6.67
SEI,"Solaris Energy Infrastructure, Inc.",Small-Cap,28.16,1890000000.0,280140000.0,12930000.0,0.43,65.31,38.84,496888.0,,,1.36,Oil & Gas Equipment & Services,Energy,27.18,28.36,7.49,36.52
HG,"Hamilton Insurance Group, Ltd.",Small-Cap,18.63,1890000000.0,2270000000.0,493370000.0,4.48,4.15,5.56,413662.0,,,,Insurance - Reinsurance,Financials,18.56,19.04,12.44,20.71
TRMD,TORM plc,Small-Cap,19.2,1890000000.0,1640000000.0,719370000.0,7.7,2.62,6.06,1168399.0,,,-0.06,Oil & Gas Midstream,Energy,19.11,20.05,17.77,40.47
LZB,La-Z-Boy Incorporated,Small-Cap,45.46,1890000000.0,2069999999.9999998,124140000.0,2.9,15.66,14.21,639120.0,,,1.36,"Furnishings, Fixtures & Appliances",Consumer Discretionary,45.29,46.61,32.0,48.31
PBFS,"Pioneer Bancorp, Inc.",Micro-Cap,11.87,299700000.0,79730000.0,18250000.0,0.73,16.33,,26762.0,,,0.49,Banks - Regional,Financials,11.87,12.03,8.76,12.03
MTA,Metalla Royalty & Streaming Ltd.,Micro-Cap,3.22,299530000.0,5050000.0,-6260000.0,-0.07,,,284517.0,,,1.48,Other Precious Metals & Mining,Materials,3.22,3.37,2.32,4.08
ALDF,Aldel Financial II Inc.,Micro-Cap,10.15,298680000.0,,3770000.0,,79.28,,2620.0,,,,Shell Companies,Financials,10.15,10.15,9.98,11.46
UROY,Uranium Royalty Corp.,Micro-Cap,2.215,297960000.0,27480000.0,3410000.0,0.03,87.49,,2069219.0,,,1.69,Uranium,Energy,2.21,2.355,1.86,3.12
FSTR,L.B. Foster Company,Micro-Cap,27.5,297830000.0,537460000.0,42760000.0,3.85,7.14,18.71,18046.0,,,0.96,Railroads,Industrials,27.42,28.26,14.23,30.77
POLE,Andretti Acquisition Corp. II,Micro-Cap,10.15,297170000.0,,,,,,4034.0,,,,Shell Companies,Financials,10.14,10.15,9.94,11.05
CRNT,Ceragon Networks Ltd.,Micro-Cap,3.46,297110000.0,394190000.0,24060000.0,0.27,12.81,11.16,1998714.0,,,1.6,Communication Equipment,Technology,3.4,3.52,2.33,5.73
EM,Smart Share Global Limited,Micro-Cap,1.15,296920000.0,269750000.0,8430000.0,0.03,35.33,17.4,413009.0,,,0.69,Personal Services,Consumer Discretionary,1.14,1.16,0.47,1.18
GOSS,"Gossamer Bio, Inc.",Micro-Cap,1.31,296850000.0,105320000.0,-71650000.0,-0.32,,,2101525.0,,,1.81,Biotechnology,Healthcare,1.24,1.37,0.499,1.6
VCIC,Vine Hill Capital Investment Corp.,Micro-Cap,10.38,296560000.0,,,,,,4579.0,,,,Shell Companies,Financials,10.3,10.38,9.96,10.99
JACS,Jackson Acquisition Company II,Micro-Cap,10.01,296200000.0,,,,,,171625.0,,,,Shell Companies,Financials,10.01,10.02,9.94,10.41
OTLY,Oatly Group AB,Micro-Cap,0.495,295500000.0,823670000.0,-201950000.0,-0.34,,,4163408.0,,,1.96,Packaged Foods,Consumer Staples,0.495,0.545,0.3,1.34
BLDE,"Blade Air Mobility, Inc.",Micro-Cap,3.75,293680000.0,241810000.0,-51460000.0,-0.68,,,482022.0,,,1.14,Airports & Air Services,Industrials,3.63,3.81,2.45,5.17
MVIS,"MicroVision, Inc.",Micro-Cap,1.34,293480000.0,8150000.0,-85500000.0,-0.42,,,3196067.0,,,2.86,Scientific & Technical Instruments,Technology,1.312,1.43,0.8,2.7
EAF,GrafTech International Ltd.,Micro-Cap,1.14,293280000.0,538780000.0,-131169999.99999999,-0.51,,,4683560.0,,,0.98,Electrical Equipment & Parts,Industrials,1.12,1.34,0.52,2.53
OSUR,"OraSure Technologies, Inc.",Micro-Cap,3.93,293160000.0,224260000.0,11370000.0,0.15,26.02,66.6,342659.0,,,0.05,Medical Instruments & Supplies,Healthcare,3.855,3.95,3.52,8.04
PCYO,Pure Cycle Corporation,Micro-Cap,12.15,292530000.0,29110000.0,13490000.0,0.55,22.09,,49378.0,,,1.02,Utilities - Regulated Water,Utilities,11.85,12.25,8.94,14.63
NMG,Nouveau Monde Graphite Inc.,Micro-Cap,1.93,292310000.0,,-50300000.0,-0.56,,,104156.0,,,1.64,Other Industrial Metals & Mining,Materials,1.89,2.07,1.22,3.04
PAL,"Proficient Auto Logistics, Inc.",Micro-Cap,10.8,291920000.0,147410000.0,-5890000.0,-0.43,,34.29,226766.0,,,,Integrated Freight & Logistics,Industrials,10.75,11.25,7.24,21.01
COFS,"ChoiceOne Financial Services, Inc.",Micro-Cap,32.53,291650000.0,91810000.0,26730000.0,3.25,10.01,9.36,56449.0,,,0.65,Banks - Regional,Financials,32.36,33.28,21.52,38.15
GRAF,Graf Global Corp.,Micro-Cap,10.14,291530000.0,,2780000.0,0.25,40.88,,4145.0,,,,Shell Companies,Financials,10.14,10.15,9.03,11.02
ZBIO,"Zenas BioPharma, Inc.",Micro-Cap,6.97,291280000.0,,-128970000.0,-41.59,,,114886.0,,,,Biotechnology,Healthcare,6.88,7.25,5.83,26.25
LPAA,Launch One Acquisition Corp.,Micro-Cap,10.13,291240000.0,,,,,,661.0,,,,Shell Companies,Financials,10.13,10.14,9.66,10.14
SFST,"Southern First Bancshares, Inc.",Micro-Cap,35.68,291140000.0,93240000.0,15530000.0,1.91,18.68,12.35,10847.0,,,0.84,Banks - Regional,Financials,35.68,36.51,24.98,45.91
INSE,"Inspired Entertainment, Inc.",Micro-Cap,10.95,291030000.0,297900000.0,-300.0,-0.01,,14.82,117721.0,,,1.4,Gambling,Consumer Discretionary,10.88,11.23,7.51,11.23
FLYX,"flyExclusive, Inc.",Micro-Cap,3.72,290640000.0,311870000.0,-43120000.0,-2.37,,,197120.0,,,0.11,Airlines,Industrials,2.73,4.38,1.79,24.21
GSRT,GSR III Acquisition Corp.,Micro-Cap,10.19,290560000.0,,-127.59,-0.02,,,211.0,,,,Shell Companies,Financials,10.19,10.19,9.97,10.2
TRUE,"TrueCar, Inc.",Micro-Cap,3.34,290440000.0,170680000.0,-27100000.0,-0.3,,,201590.0,,,1.75,Internet Content & Information,Communication Services,3.315,3.4,2.56,4.62
HOND,HCM II Acquisition Corp.,Micro-Cap,10.2,290400000.0,,,,,,1300.0,,,,Shell Companies,Financials,10.2,10.2,9.97,11.57
IRBT,iRobot Corporation,Micro-Cap,9.49,290000000.0,817360000.0,-132000000.0,-4.57,,,2618439.0,,,0.8,"Furnishings, Fixtures & Appliances",Consumer Discretionary,9.21,10.1,5.83,14.51
GHG,GreenTree Hospitality Group Ltd.,Micro-Cap,2.85,289400000.0,201170000.0,28260000.0,0.28,10.25,,18143.0,,,0.47,Lodging,Consumer Discretionary,2.669,2.867,2.31,3.48
PCB,PCB Bancorp,Micro-Cap,20.15,289390000.0,96310000.0,24980000.0,1.74,11.58,9.89,8274.0,,,0.68,Banks - Regional,Financials,20.06,20.44,14.5,22.2
LESL,"Leslie's, Inc.",Micro-Cap,1.56,288950000.0,1330000000.0,-28390000.0,-0.16,,40.41,6512895.0,,,1.1,Specialty Retail,Consumer Discretionary,1.56,1.66,1.56,8.05
LPBB,Launch Two Acquisition Corp.,Micro-Cap,10.12,288080000.0,,,,,,2912.0,,,,Shell Companies,Financials,10.05,10.12,9.97,10.34
VLN,Valens Semiconductor Ltd.,Micro-Cap,2.71,288040000.0,63130000.0,-26480000.0,-0.25,,,1417510.0,,,0.32,Semiconductors,Technology,2.52,3.0,1.67,3.5
ONTF,"ON24, Inc.",Micro-Cap,6.91,287810000.0,150740000.0,-43160000.0,-1.04,,91.28,50023.0,,,0.53,Software - Application,Technology,6.91,7.0,5.37,8.3
NEN,New England Realty Associates Limited Partnership,Micro-Cap,82.0,287110000.0,81170000.0,13750000.0,3.91,20.99,,,,,0.34,Real Estate Services,Real Estate,82.0,82.0,67.5,84.0
SMRT,"SmartRent, Inc.",Micro-Cap,1.49,286930000.0,199770000.0,-25520000.0,-0.13,,,647722.0,,,1.9,Software - Application,Technology,1.49,1.54,1.17,3.05
FNLC,"The First Bancorp, Inc.",Micro-Cap,25.72,286920000.0,79740000.0,27050000.0,2.43,10.58,,13478.0,,,0.56,Banks - Regional,Financials,25.59,26.0,21.77,31.05
AVR,Anteris Technologies Global Corp.,Micro-Cap,7.99,286370000.0,2830000.0,-71770000.0,-3.87,,,99914.0,,,,Medical Devices,Healthcare,7.45,7.99,5.1,8.51
ATYR,"aTyr Pharma, Inc.",Micro-Cap,3.41,286240000.0,235.0,-63820000.0,-0.93,,,1048807.0,,,1.11,Biotechnology,Healthcare,3.38,3.65,1.42,4.225
DC,Dakota Gold Corp.,Micro-Cap,3.03,286120000.0,,-36660000.0,-0.41,,,315541.0,,,1.1,Gold,Materials,3.02,3.27,1.84,3.35
CRDF,"Cardiff Oncology, Inc.",Micro-Cap,4.29,285390000.0,688.0,-43010000.0,-0.95,,,467104.0,,,1.76,Biotechnology,Healthcare,4.135,4.29,1.65,6.42
SPIR,"Spire Global, Inc.",Micro-Cap,11.72,285000000.0,107220000.0,-71540000.0,-3.49,,,1137019.0,,,2.28,Specialty Business Services,Industrials,11.47,12.56,6.26,21.43
ILLR,Triller Group Inc.,Micro-Cap,1.75,284970000.0,45240000.0,-271430000.0,-2.96,,,451149.0,,,,Software - Application,Technology,1.68,1.79,0.661,8.86
INBK,First Internet Bancorp,Micro-Cap,32.85,284740000.0,117650000.0,25280000.0,2.88,11.41,8.0,11254.0,,,0.74,Banks - Regional,Financials,32.68,33.5,24.18,43.26
AARD,"Aardvark Therapeutics, Inc.",Micro-Cap,13.3,284410000.0,,-13850000.0,-3.49,,,182655.0,,,,Biotechnology,Healthcare,12.91,14.43,11.55,15.18
ALLT,Allot Ltd.,Micro-Cap,7.45,283740000.0,91630000.0,-24460000.0,-0.64,,248.33,564070.0,,,1.06,Software - Infrastructure,Technology,7.3,7.64,1.73,9.44
LXRX,"Lexicon Pharmaceuticals, Inc.",Micro-Cap,0.785,283740000.0,5230000.0,-216390000.0,-0.74,,,2548526.0,,,1.05,Biotechnology,Healthcare,0.75,0.827,0.62,3.26
ALMS,Alumis Inc.,Micro-Cap,5.21,283460000.0,,-238770000.0,-15.6,,,113914.0,,,,Biotechnology,Healthcare,4.99,5.33,4.74,13.53
NUKK,Nukkleus Inc.,Nano-Cap,17.24,82590000.0,10750000.0,-27250000.0,-17.8,,,132352.0,,,-6.59,Software - Application,Technology,17.22,19.9,1.3,78.32
NINE,"Nine Energy Service, Inc.",Nano-Cap,1.18,49990000.0,556750000.0,-42540000.0,-1.2,,,493696.0,,,3.5,Oil & Gas Equipment & Services,Energy,1.16,1.24,0.751,3.26
UG,"United-Guardian, Inc.",Nano-Cap,10.88,49990000.0,12310000.0,3480000.0,0.76,14.34,,7771.0,,,0.74,Household & Personal Products,Consumer Staples,10.34,10.88,7.02,16.25
BOLD,"Boundless Bio, Inc.",Nano-Cap,2.24,49950000.0,,-61060000.0,-5.21,,,41806.0,,,,Biotechnology,Healthcare,2.24,2.44,2.13,15.24
ATRA,"Atara Biotherapeutics, Inc.",Nano-Cap,8.59,49480000.0,100440000.0,-133160000.0,-22.6,,,57506.0,,,0.46,Biotechnology,Healthcare,8.29,8.98,5.4,23.45
MSW,Ming Shing Group Holdings Limited,Nano-Cap,3.81,49430000.0,27570000.0,2330000.0,0.21,18.42,,133813.0,,,,Engineering & Construction,Industrials,3.49,3.97,2.12,10.58
ALVR,"AlloVir, Inc.",Nano-Cap,9.9,49260000.0,,-100200000.0,-20.07,,,1801.0,,,0.64,Biotechnology,Healthcare,9.87,9.96,7.96,24.15
MOBX,"Mobix Labs, Inc.",Nano-Cap,1.325,49020000.0,9330000.0,-41470000.0,-1.27,,,256217.0,,,-0.33,Semiconductors,Technology,1.27,1.34,0.551,3.62
PODC,"PodcastOne, Inc.",Nano-Cap,1.97,48950000.0,49730000.0,-5670000.0,-0.24,,,31375.0,,,,Internet Content & Information,Communication Services,1.96,2.04,1.1,2.847
MAIA,"MAIA Biotechnology, Inc.",Nano-Cap,1.87,48920000.0,,-25940000.0,-1.31,,,67386.0,,,0.22,Biotechnology,Healthcare,1.83,1.91,1.24,5.99
RGC,Regencell Bioscience Holdings Limited,Nano-Cap,3.75,48800000.0,,-4300000.0,-0.33,,,6168.0,,,-0.59,Drug Manufacturers - Specialty & Generic,Healthcare,3.549,3.85,3.03,32.44
SSBI,Summit State Bank,Nano-Cap,7.18,48640000.0,25780000.0,-3660000.0,-0.54,,,12242.0,,,0.65,Banks - Regional,Financials,7.06,7.41,5.68,11.63
UCL,uCloudlink Group Inc.,Nano-Cap,1.29,48360000.0,87410000.0,4230000.0,0.11,11.45,12.43,25502.0,,,4.12,Telecom Services,Communication Services,1.26,1.3,0.97,3.3
OM,"Outset Medical, Inc.",Nano-Cap,0.899,48270000.0,114730000.0,-140940000.0,-2.75,,,2687582.0,,,2.01,Medical Devices,Healthcare,0.8,0.97,0.435,5.22
REFR,Research Frontiers Incorporated,Nano-Cap,1.44,48270000.0,1470000.0,-1180000.0,-0.04,,,23550.0,,,0.27,Electronic Components,Technology,1.42,1.61,0.93,2.41
CELU,Celularity Inc.,Nano-Cap,2.14,48120000.0,48200000.0,-35050000.0,-1.66,,,90095.0,,,0.63,Biotechnology,Healthcare,2.06,2.15,1.3,7.97
AREC,American Resources Corporation,Nano-Cap,0.62,48010000.0,399.962,-19410000.0,-0.25,,,249022.0,,,0.22,Coking Coal,Materials,0.62,0.66,0.41,1.78
